nom,famille,masse,A,h,b,tw,tf,r,Iy,Iz,Wely,Wply,Welz,Wplz,iy,iz,Um,iz_tabule,It,Av,Aw
HHD400.744,HHD,744.0,0.0948,0.498,0.432,0.055600000000000004,0.0889,0.015,0.003421,0.001199,0.0137,0.0172,0.00555,0.00855,0.19,0.112,2.59,,0.00021799999999999999,0.025609999999999997,0.022699999999999998
HHD400.818,HHD,818.0,0.105,0.514,0.437,0.0605,0.097,0.015,0.003922,0.0013549999999999999,0.015300000000000001,0.0193,0.006200000000000001,0.00956,0.194,0.114,2.63,,0.000285,0.028329999999999998,0.0252
HHD400.900,HHD,900.0,0.11499999999999999,0.531,0.442,0.0659,0.106,0.015,0.004502,0.001533,0.017,0.0216,0.006940000000000001,0.010700000000000001,0.198,0.115,2.67,,0.000374,0.03138,0.027999999999999997
HHD400.990,HHD,990.0,0.126,0.55,0.448,0.0719,0.115,0.015,0.005189,0.0017339999999999999,0.0189,0.024300000000000002,0.00774,0.012,0.203,0.117,2.72,,0.000482,0.03492,0.0313
HHD400.1086,HHD,1086.0,0.13899999999999998,0.5690000000000001,0.454,0.078,0.125,0.015,0.005957,0.0019619999999999998,0.020900000000000002,0.027200000000000002,0.00865,0.0134,0.20700000000000002,0.11900000000000001,2.77,,0.000623,0.02958,0.0346
HL1000x,HL,296.0,0.0377,0.982,0.4,0.0165,0.027,0.03,0.006187,0.0002885,0.0126,0.0142,0.00144,0.00223,0.405,0.08750000000000001,3.48,,7.5699999999999995e-06,0.01815,0.015799999999999998
HL1000A,HL,321.0,0.0409,0.99,0.4,0.0165,0.031,0.03,0.006964,0.0003312,0.014100000000000001,0.0158,0.00166,0.00256,0.41300000000000003,0.09,3.5,,1.04e-05,0.01846,0.015799999999999998
HL1000B,HL,371.0,0.0472,1.0,0.4,0.019,0.036000000000000004,0.03,0.008121,0.0003848,0.016200000000000003,0.0183,0.00192,0.00298,0.41500000000000004,0.0903,3.51,,1.58e-05,0.021249999999999998,0.0183
HL1000M,HL,412.0,0.052399999999999995,1.008,0.402,0.021,0.04,0.03,0.009098,0.0004341,0.018000000000000002,0.0204,0.00216,0.00335,0.417,0.091,3.53,,2.15e-05,0.0235,0.0203
HL1100A,HL,343.0,0.0436,1.09,0.4,0.018000000000000002,0.031,0.02,0.008674,0.0003312,0.0159,0.0181,0.00166,0.0025700000000000002,0.446,0.0871,3.71,,1.03e-05,0.020649999999999998,0.0191
HL1100B,HL,390.0,0.0497,1.1,0.4,0.02,0.036000000000000004,0.02,0.01005,0.0003848,0.0183,0.020800000000000003,0.00192,0.00299,0.45,0.088,3.73,,1.56e-05,0.02306,0.0213
HL1100M,HL,433.0,0.055099999999999996,1.108,0.402,0.022,0.04,0.02,0.01126,0.0004341,0.020300000000000002,0.023200000000000002,0.00216,0.00336,0.452,0.0887,3.75,,2.12e-05,0.025439999999999997,0.0235
HL1100R,HL,499.0,0.0635,1.118,0.405,0.026000000000000002,0.045,0.02,0.01294,0.0004998,0.023200000000000002,0.026600000000000002,0.00247,0.00387,0.451,0.0887,3.77,,3.11e-05,0.030039999999999997,0.027899999999999998
RRW 40/40/3,RRW,3.409591901220148,0.0004343429173528851,0.04,0.04,0.003,0.003,0.006,9.775047025146576e-08,9.775047025146576e-08,4.887523512573289e-06,5.969976719793182e-06,4.887523512573289e-06,5.969976719793182e-06,0.015001789097650715,0.015001789097650715,0.15227433388230813,0.015001789097650715,,,
RRW 40/40/3.2,RRW,3.6114112298327017,0.00046005238596594927,0.04,0.04,0.0032,0.0032,0.0064,1.0229660103439171e-07,1.0229660103439171e-07,5.114830051719587e-06,6.2837774540521785e-06,5.114830051719587e-06,6.2837774540521785e-06,0.014911693147729142,0.01491169314772914,0.15175928947446202,0.015001789097650715,,,
RRW 40/40/4,RRW,4.386830046613597,0.0005588318530717959,0.04,0.04,0.004,0.004,0.008,1.1829499571312537e-07,1.1829499571312537e-07,5.914749785656269e-06,7.4388435745866835e-06,5.914749785656269e-06,7.4388435745866835e-06,0.014549317124728097,0.014549317124728095,0.1496991118430775,0.015001789097650715,,,
RRW 40/40/5,RRW,5.284421947833746,0.000673174770424681,0.04,0.04,0.005,0.005,0.01,1.3367893090555173e-07,1.3367893090555173e-07,6.683946545277588e-06,8.663117504491209e-06,6.683946545277588e-06,8.663117504491209e-06,0.014091835549696764,0.014091835549696764,0.1471238898038469,0.015001789097650715,,,
RRW 50/50/3,RRW,4.351591901220148,0.0005543429173528852,0.05,0.05,0.003,0.003,0.006,2.0198881038321975e-07,2.0198881038321975e-07,8.079552415328792e-06,9.701691306557608e-06,8.079552415328792e-06,9.701691306557608e-06,0.019088614360492508,0.019088614360492504,0.19227433388230813,0.015001789097650715,,,
RRW 50/50/3.2,RRW,4.616211229832701,0.0005880523859659492,0.05,0.05,0.0032,0.0032,0.0064,2.1226747189072883e-07,2.1226747189072883e-07,8.490698875629155e-06,1.0241639383881927e-05,8.490698875629155e-06,1.0241639383881927e-05,0.018999130050293397,0.018999130050293397,0.191759289474462,0.015001789097650715,,,
RRW 50/50/4,RRW,5.642830046613597,0.0007188318530717959,0.05,0.05,0.004,0.004,0.008,2.497475611191204e-07,2.497475611191204e-07,9.989902444764816e-06,1.2273002839945663e-05,9.989902444764816e-06,1.2273002839945663e-05,0.018639616434661423,0.018639616434661423,0.1896991118430775,0.015001789097650715,,,
RRW 50/50/5,RRW,6.854421947833745,0.000873174770424681,0.05,0.05,0.005,0.005,0.01,2.888061418777475e-07,2.888061418777475e-07,1.15522456751099e-05,1.4528991356614614e-05,1.15522456751099e-05,1.4528991356614614e-05,0.018186646405910122,0.018186646405910122,0.18712388980384692,0.015001789097650715,,,
RRW 50/50/6.3,RRW,8.310420284380855,0.0010586522655262238,0.05,0.05,0.0063,0.0063,0.0126,3.276222435664516e-07,3.276222435664516e-07,1.3104889742658063e-05,1.700612588805886e-05,1.3104889742658063e-05,1.700612588805886e-05,0.0175917896905823,0.0175917896905823,0.1837761011528471,0.015001789097650715,,,
RRW 60/60/3,RRW,5.2935919012201476,0.0006743429173528851,0.06,0.06,0.003,0.003,0.006,3.6214429638261797e-07,3.6214429638261797e-07,1.2071476546087265e-05,1.4333405893322033e-05,1.2071476546087265e-05,1.4333405893322033e-05,0.02317396915592833,0.02317396915592833,0.23227433388230811,0.015001789097650715,,,
RRW 60/60/3.2,RRW,5.6210112298327015,0.0007160523859659492,0.06,0.06,0.0032,0.0032,0.0064,3.8159296204536345e-07,3.8159296204536345e-07,1.2719765401512115e-05,1.5159501313711668e-05,1.2719765401512115e-05,1.5159501313711668e-05,0.02308488843219352,0.023084888432193522,0.231759289474462,0.015001789097650715,,,
RRW 60/60/4,RRW,6.898830046613597,0.0008788318530717959,0.06,0.06,0.004,0.004,0.008,4.5394171917870525e-07,4.5394171917870525e-07,1.5131390639290175e-05,1.8307162105304646e-05,1.5131390639290175e-05,1.8307162105304646e-05,0.022727263873293935,0.022727263873293935,0.2296991118430775,0.015001789097650715,,,
RRW 60/60/5,RRW,8.424421947833745,0.001073174770424681,0.06,0.06,0.005,0.005,0.01,5.325920913711775e-07,5.325920913711775e-07,1.7753069712372584e-05,2.1894865208738023e-05,1.7753069712372584e-05,2.1894865208738023e-05,0.022277278257623278,0.022277278257623278,0.2271238898038469,0.015001789097650715,,,
RRW 60/60/6.3,RRW,10.288620284380858,0.0013106522655262239,0.06,0.06,0.0063,0.0063,0.0126,6.164527890851958e-07,6.164527890851958e-07,2.054842630283986e-05,2.5997487215689985e-05,2.054842630283986e-05,2.5997487215689985e-05,0.021687334084856957,0.021687334084856957,0.2237761011528471,0.015001789097650715,,,
RRW 60/60/8,RRW,12.52332018645439,0.0015953274122871835,0.06,0.06,0.008,0.008,0.016,6.973443673715219e-07,6.973443673715219e-07,2.32448122457174e-05,3.0437474473821625e-05,2.32448122457174e-05,3.0437474473821625e-05,0.020907337734414874,0.02090733773441487,0.21939822368615503,0.015001789097650715,,,
RRW 70/70/3.6,RRW,7.396692337757015,0.0009422538009881549,0.07,0.07,0.0036000000000000003,0.0036000000000000003,0.007200000000000001,6.864846080126641e-07,6.864846080126641e-07,1.9613845943218975e-05,2.3326191582672327e-05,1.9613845943218975e-05,2.3326191582672327e-05,0.02699177549883708,0.02699177549883708,0.2707292006587698,0.015001789097650715,,,
RRW 70/70/4,RRW,8.154830046613597,0.0010388318530717958,0.07,0.07,0.004,0.004,0.008,7.468774698918799e-07,7.468774698918799e-07,2.133935628262514e-05,2.554132137066362e-05,2.133935628262514e-05,2.554132137066362e-05,0.026813410099200966,0.026813410099200966,0.2696991118430775,0.015001789097650715,,,
RRW 70/70/5,RRW,9.994421947833745,0.0012731747704246808,0.07,0.07,0.005,0.005,0.01,8.850367793858412e-07,8.850367793858412e-07,2.5286765125309757e-05,3.076073906086143e-05,2.5286765125309757e-05,3.076073906086143e-05,0.026365538595728533,0.026365538595728533,0.2671238898038469,0.015001789097650715,,,
